"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"Boyd_SRR648329"	"Boyd"	"Yellowstone National Park"	"USA"	0.7925519217	0.7504177608	0.4666984961	0.3059202674
"0706W"	"Cole"	"Great Basin"	"USA"	0.0100401606	0.0100401606	0.0120481928	0.0080321285
"0812A"	"Cole"	"Great Basin"	"USA"	0.8821222607	0.8819300269	0.1367743176	0.0119184929
"0906A"	"Cole"	"Great Basin"	"USA"	0.649956878	0.6497412678	0.2769512721	0.0046356188
"0906W"	"Cole"	"Great Basin"	"USA"	0.0166849015	0.0166849015	0.0163202042	0.0144967177
"1002A"	"Cole"	"Great Basin"	"USA"	0.9502982107	0.9483101392	0.3121272366	0.0079522863
"1002B"	"Cole"	"Great Basin"	"USA"	0.8842380179	0.8613679678	0.5418931319	0.0600691748
"1002C"	"Cole"	"Great Basin"	"USA"	0.4926146173	0.5028774218	0.2974295032	0.0439286399
"1002E"	"Cole"	"Great Basin"	"USA"	0.0037198123	0.0036053565	0.0028613941	0.0008584182
"1002W"	"Cole"	"Great Basin"	"USA"	0.695946838	0.695946838	0.6301104608	0.024292567
"1007A"	"Cole"	"Great Basin"	"USA"	0.7300545693	0.6959314775	0.45306348	0.1375975686
"1007C"	"Cole"	"Great Basin"	"USA"	0	0	0	0
"A_Filter"	"Huo"	"Great Boiling Pot"	"China"	0.0136005727	0.0136005727	0.0114531138	0.0057265569
"A_Sinter"	"Huo"	"Great Boiling Pot"	"China"	0.0007204611	0.0007204611	0.0007204611	0
"A_TFF"	"Huo"	"Great Boiling Pot"	"China"	0	0	0	0
"A_TFF_B"	"Huo"	"Great Boiling Pot"	"China"	0.069501403	0.0658320742	0.0556874595	0.0133822577
"A2_Sinter"	"Huo"	"Great Boiling Pot"	"China"	0.0311598384	0.0271206001	0.0219272937	0.0086555107
"A3_Sinter"	"Huo"	"Great Boiling Pot"	"China"	0.5169039146	0.4168149466	0.3589857651	0.3158362989
"Arzakhan"	"Hedlund"	"Arzakhan hot spring sediment"	"Armenia"	0.12	0.0933333333	0.0933333333	0
"B_Filter"	"Huo"	"Experimental Site "	"China"	0.145746888	0.0943983402	0.0928423237	0.0020746888
"B_Sediment"	"Huo"	"Experimtetal site"	"China"	0.1529255319	0.1203457447	0.1203457447	0
"B_Sediment_B"	"Huo"	"Experimental Site "	"China"	0.6286133529	0.5745414527	0.4909024211	0.2425531915
"BC4_2012"	"Sharp"	"Western Canada"	"Canada"	0.486631016	0.4059078177	0.3743315508	0.0651897122
"BCse1_2009"	"Sharp"	"Western Canada"	"Canada"	0.8138489209	0.9613309353	0.6939448441	0.2236211031
"BMS_2012"	"Sharp"	"Western Canada"	"Canada"	0.8220572057	0.1391639164	0.1762926293	0.0173267327
"BR2_2011"	"Sharp"	"Western Canada"	"Canada"	0.7904761905	0.7797619048	0.6726190476	0.0845238095
